#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
7978308273	SMP	1	1389.05	1038.36	1071.19	1043.42	26.36	26.36	3.74	26.13	26.13	3.92	1388.40	1044.08	1403.45	1044.67	1075.36	1049.39	1088.80	1048.82	1365.80	769.05	1511.61	721.50	0	1	1	2	-1	-1	-7.82	-42.55	470.95	41.16	-45.63	496.78	0.22	0.27	-0.94	0.28	0.27	-0.92	0	 -1	
7978341446	SMP	1	1388.59	1039.12	1071.22	1043.59	26.82	26.82	3.75	26.55	26.55	3.93	1388.26	1044.44	1403.35	1045.19	1075.24	1049.37	1088.76	1048.78	1376.58	771.49	1511.21	722.62	0	1	1	2	-1	-1	-7.80	-42.58	470.61	41.15	-45.59	496.48	0.23	0.26	-0.94	0.27	0.26	-0.93	0	 -1	
7978374776	SMP	1	1388.38	1039.08	1070.98	1043.51	26.92	26.92	3.76	26.74	26.74	3.94	1388.07	1044.90	1403.09	1045.30	1074.96	1049.08	1088.57	1048.56	1377.65	770.14	1510.83	725.27	0	1	1	2	-1	-1	-7.76	-42.61	470.39	41.15	-45.51	496.04	0.23	0.27	-0.94	0.27	0.25	-0.93	0	 -1	
7978408168	SMP	1	1392.60	1039.21	1074.10	1043.01	27.37	27.37	3.78	26.73	26.73	3.95	1389.98	1044.72	1405.14	1045.36	1076.63	1048.86	1090.23	1048.17	1140.26	771.44	1429.38	724.18	0	1	1	2	-1	-1	-8.05	-42.55	469.92	40.86	-45.44	495.71	0.17	0.26	-0.95	0.22	0.26	-0.94	0	 -1	
7978441445	SMP	1	1403.05	1039.67	1084.38	1043.79	26.59	26.59	3.78	28.02	28.02	3.99	1395.58	1045.17	1410.87	1045.85	1082.42	1049.16	1096.89	1048.63	642.58	771.53	1147.18	734.28	0	1	1	2	-1	-1	-8.88	-42.56	469.26	39.33	-44.87	488.92	0.02	0.26	-0.96	0.09	0.25	-0.96	0	 -1	
7978474758	SMP	1	1403.30	1040.11	1084.56	1043.36	27.74	27.74	3.80	28.11	28.11	4.01	1395.86	1045.15	1411.19	1045.82	1082.27	1048.90	1096.79	1048.37	645.52	777.29	1134.25	737.50	0	1	1	2	-1	-1	-8.91	-42.50	468.62	38.98	-44.41	484.33	0.02	0.25	-0.97	0.08	0.25	-0.96	0	 -1	
7978508093	SMP	1	1403.59	1040.29	1083.88	1043.52	27.53	27.53	3.82	28.38	28.38	4.03	1396.06	1045.37	1411.36	1046.13	1082.02	1049.05	1096.51	1048.42	642.72	780.21	1140.25	743.97	0	1	1	2	-1	-1	-8.93	-42.50	468.16	38.88	-44.26	482.58	0.02	0.25	-0.97	0.09	0.25	-0.96	0	 -1	
7978541427	SMP	1	1404.31	1040.56	1084.87	1043.49	28.26	28.26	3.85	28.03	28.03	4.04	1396.74	1045.26	1412.07	1046.23	1082.46	1049.13	1096.94	1048.54	641.12	787.78	1128.80	745.08	0	1	1	2	-1	-1	-9.03	-42.45	467.62	38.73	-44.18	481.46	0.02	0.24	-0.97	0.08	0.25	-0.96	0	 -1	
7978574743	SMP	1	1405.18	1040.02	1084.93	1043.56	28.07	28.07	3.87	28.10	28.10	4.05	1397.69	1045.26	1412.84	1046.02	1083.01	1048.98	1097.52	1048.42	640.05	784.73	1135.45	752.99	0	1	1	2	-1	-1	-9.15	-42.44	467.67	38.54	-44.04	480.18	0.02	0.26	-0.97	0.09	0.25	-0.96	0	 -1	
7978608080	SMP	1	1405.32	1039.81	1085.53	1042.80	28.15	28.15	3.88	29.21	29.21	4.08	1397.92	1044.66	1413.31	1045.47	1083.33	1048.26	1097.88	1047.75	644.11	792.43	1131.13	755.19	0	1	1	2	-1	-1	-9.19	-42.28	466.84	38.40	-43.84	479.14	0.03	0.25	-0.97	0.08	0.25	-0.96	0	 -1	
7978641491	SMP	1	1406.38	1038.89	1086.69	1041.87	28.09	28.09	3.89	28.48	28.48	4.09	1398.85	1043.49	1414.18	1044.52	1084.14	1047.23	1098.74	1046.83	643.26	798.13	1123.32	759.36	0	1	1	2	-1	-1	-9.32	-42.09	466.51	38.21	-43.61	478.26	0.02	0.24	-0.97	0.07	0.25	-0.97	0	 -1	
