## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\labelcats-pilot\102517_pilot3-[d4669c09-a078-480b-8660-ec239c8a9966]\102517_pilot3-eye_data.idf
## Date:	25.10.2017 13:06:07
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	7062                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	102517_pilot3                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(96;54)
## Calibration Point 1:	Position(1824;1026)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
8337993757	SMP	1	1747.38	805.51	1498.56	783.83	17.11	17.11	3.06	17.14	17.14	3.17	1741.48	815.04	1750.93	815.10	1494.06	793.24	1502.98	793.33	963.81	113.33	760.99	24.75	0	1	1	2	-1	-1	-76.27	-10.53	597.38	-30.36	-6.62	617.72	0.07	0.38	-0.92	0.04	0.39	-0.92	0	 -1	
8338026802	SMP	1	1746.57	805.13	1497.76	783.72	17.50	17.50	3.08	17.30	17.30	3.17	1740.87	814.55	1750.13	814.77	1493.29	792.98	1502.24	793.09	968.34	119.54	763.09	38.94	0	1	1	2	-1	-1	-76.19	-10.46	597.80	-30.17	-6.56	616.78	0.07	0.38	-0.92	0.04	0.38	-0.92	0	 -1	
8338060070	SMP	1	1745.65	804.19	1496.79	782.89	17.59	17.59	3.10	17.50	17.50	3.19	1739.91	813.57	1749.12	813.77	1492.42	792.28	1501.29	792.40	969.00	126.10	765.47	39.31	0	1	1	2	-1	-1	-76.04	-10.28	598.13	-29.98	-6.42	616.70	0.07	0.38	-0.92	0.05	0.38	-0.92	0	 -1	
8338093371	SMP	1	1743.13	803.49	1494.63	782.55	17.81	17.81	3.12	17.66	17.66	3.20	1737.42	813.00	1746.74	813.09	1490.18	791.95	1499.05	791.98	971.55	126.63	764.67	45.34	0	1	1	2	-1	-1	-75.56	-10.15	598.00	-29.53	-6.35	616.44	0.07	0.38	-0.92	0.04	0.38	-0.92	0	 -1	
8338126720	SMP	1	1741.93	802.65	1493.55	782.02	17.70	17.70	3.13	17.78	17.78	3.22	1736.31	812.10	1745.47	812.15	1489.13	791.28	1498.08	791.34	973.39	132.37	766.20	55.43	0	1	1	2	-1	-1	-75.42	-9.99	598.62	-29.28	-6.21	615.37	0.07	0.38	-0.92	0.04	0.38	-0.92	0	 -1	
8338160057	SMP	1	1741.57	801.08	1493.25	780.78	17.83	17.83	3.15	17.78	17.78	3.23	1736.01	810.46	1745.25	810.66	1488.92	790.10	1497.79	790.09	976.82	134.87	767.87	59.23	0	1	1	2	-1	-1	-75.38	-9.69	598.73	-29.24	-5.97	615.44	0.08	0.38	-0.92	0.05	0.38	-0.92	0	 -1	
8338193430	SMP	1	1740.63	799.33	1492.35	779.42	18.07	18.07	3.17	17.89	17.89	3.24	1734.95	808.59	1744.10	808.86	1487.95	788.74	1496.81	788.84	976.23	139.08	767.51	61.07	0	1	1	2	-1	-1	-75.24	-9.36	599.30	-29.04	-5.71	615.15	0.07	0.38	-0.92	0.04	0.38	-0.92	0	 -1	
8338226730	SMP	1	1739.37	799.22	1491.31	779.47	18.18	18.18	3.19	17.80	17.80	3.25	1733.76	808.44	1742.86	808.47	1486.89	788.75	1495.75	788.89	977.45	144.54	767.41	64.03	0	1	1	2	-1	-1	-75.09	-9.31	599.91	-28.81	-5.72	614.85	0.07	0.37	-0.93	0.04	0.38	-0.92	0	 -1	
8338260050	SMP	1	1738.57	799.35	1490.45	780.35	17.96	17.96	3.21	17.73	17.73	3.25	1732.88	808.64	1742.06	808.88	1486.11	789.53	1494.98	789.66	977.74	144.92	769.28	69.28	0	1	1	2	-1	-1	-74.96	-9.38	600.15	-28.65	-5.87	614.52	0.07	0.38	-0.92	0.05	0.37	-0.93	0	 -1	
8338293376	SMP	1	1738.29	799.78	1490.49	781.20	18.09	18.09	3.22	17.58	17.58	3.25	1732.75	809.08	1741.88	809.11	1486.09	790.48	1494.96	790.60	980.45	147.40	769.15	71.18	0	1	1	2	-1	-1	-74.99	-9.45	600.63	-28.63	-6.05	614.26	0.07	0.37	-0.92	0.04	0.38	-0.92	0	 -1	
