## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\labelcats-pilot\102517_pilot4-[a42d3c23-ca5b-4c13-aa8b-409fc1b105ca]\102517_pilot4-eye_data.idf
## Date:	25.10.2017 13:17:31
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	7244                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	102517_pilot4                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(96;54)
## Calibration Point 1:	Position(1824;1026)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
9022123817	SMP	1	0.00	0.00	1475.46	720.44	0.00	0.00	0.00	19.15	19.15	3.54	0.00	0.00	0.00	0.00	1470.94	726.71	1479.94	726.76	0.00	0.00	829.03	531.36	0	0	1	1	-1	-1	0.00	0.00	0.00	-25.44	6.32	608.23	0.00	0.00	0.00	0.04	0.24	-0.97	0	 -1	
9022157088	SMP	1	1709.69	727.02	1473.08	731.27	19.94	19.94	3.78	19.07	19.07	3.53	1700.90	733.58	1709.66	733.46	1468.59	737.54	1477.55	737.57	534.78	448.21	831.18	531.00	0	1	1	2	-1	-1	-70.26	5.05	612.52	-25.00	4.24	608.63	-0.07	0.25	-0.97	0.04	0.24	-0.97	0	 -1	
9022190364	SMP	1	1706.25	736.52	1469.58	742.71	19.72	19.72	3.76	19.25	19.25	3.53	1697.34	742.87	1706.09	742.72	1464.96	748.75	1473.97	748.86	536.26	454.65	830.87	532.08	0	1	1	2	-1	-1	-69.60	3.25	612.84	-24.31	2.06	608.79	-0.07	0.24	-0.97	0.03	0.24	-0.97	0	 -1	
9022223682	SMP	1	1701.51	743.49	1464.63	750.85	20.00	20.00	3.75	19.50	19.50	3.53	1692.38	749.72	1701.27	749.68	1459.93	756.80	1468.97	756.92	534.56	458.56	830.31	535.77	0	1	1	2	-1	-1	-68.58	1.90	612.27	-23.34	0.51	608.71	-0.08	0.24	-0.97	0.03	0.24	-0.97	0	 -1	
9022257032	SMP	1	1696.46	745.40	1459.41	753.40	19.91	19.91	3.73	19.24	19.24	3.53	1687.62	751.70	1696.58	751.83	1454.68	759.53	1463.82	759.69	540.84	457.90	831.62	535.68	0	1	1	2	-1	-1	-67.61	1.50	611.71	-22.32	-0.02	608.35	-0.07	0.25	-0.97	0.03	0.24	-0.97	0	 -1	
9022290346	SMP	1	1692.38	742.68	1454.06	751.67	20.23	20.23	3.73	19.60	19.60	3.54	1683.23	748.82	1692.29	749.00	1449.50	757.60	1458.70	757.72	538.82	462.01	836.61	539.97	0	1	1	2	-1	-1	-66.67	2.05	610.81	-21.31	0.35	607.78	-0.08	0.24	-0.97	0.03	0.23	-0.97	0	 -1	
9022323754	SMP	1	1688.62	736.67	1449.53	747.08	20.32	20.32	3.73	19.57	19.57	3.54	1679.58	743.00	1688.56	742.95	1444.73	753.05	1454.01	753.09	539.78	460.28	836.42	543.24	0	1	1	2	-1	-1	-65.94	3.20	610.71	-20.37	1.24	606.85	-0.08	0.24	-0.97	0.02	0.23	-0.97	0	 -1	
9022357026	SMP	1	1686.51	729.18	1446.41	741.08	20.55	20.55	3.74	19.45	19.45	3.54	1677.52	735.82	1686.59	735.66	1441.59	747.31	1450.90	747.39	542.95	456.13	836.83	542.44	0	1	1	2	-1	-1	-65.47	4.60	609.95	-19.74	2.34	605.89	-0.08	0.25	-0.97	0.02	0.24	-0.97	0	 -1	
9022390339	SMP	1	1686.08	720.85	1444.78	733.98	20.52	20.52	3.75	19.90	19.90	3.55	1676.99	727.19	1686.30	727.22	1440.03	740.29	1449.40	740.35	546.00	459.36	838.96	540.91	0	1	1	2	-1	-1	-65.17	6.23	607.94	-19.41	3.68	604.79	-0.07	0.24	-0.97	0.03	0.24	-0.97	0	 -1	
9022423687	SMP	1	1686.51	710.53	1443.97	724.31	20.53	20.53	3.75	19.70	19.70	3.56	1677.21	717.14	1686.55	717.13	1439.23	730.70	1448.70	730.70	545.30	453.87	841.60	540.07	0	1	1	2	-1	-1	-65.05	8.15	606.40	-19.21	5.51	603.05	-0.08	0.25	-0.97	0.03	0.24	-0.97	0	 -1	
9022457110	SMP	1	1686.52	698.10	1443.28	710.91	20.32	20.32	3.74	19.90	19.90	3.56	1677.20	704.85	1686.60	704.74	1438.43	717.54	1447.91	717.53	547.12	450.91	839.77	535.86	0	1	1	2	-1	-1	-64.83	10.48	604.34	-19.01	8.01	601.65	-0.08	0.24	-0.97	0.03	0.24	-0.97	0	 -1	
9022490335	SMP	1	0.00	0.00	1442.80	696.64	0.00	0.00	0.00	20.03	20.03	3.57	0.00	0.00	0.00	0.00	1437.86	702.89	1447.44	703.04	0.00	0.00	838.98	540.11	0	0	1	1	-1	-1	0.00	0.00	0.00	-18.84	10.75	599.42	0.00	0.00	0.00	0.02	0.23	-0.97	0	 -1	
9022523659	SMP	1	1686.88	674.18	1442.97	684.48	20.79	20.79	3.75	19.80	19.80	3.57	1677.72	680.98	1687.18	680.84	1438.06	691.07	1447.64	691.17	551.68	451.20	838.47	535.99	0	1	1	2	-1	-1	-64.70	15.01	602.09	-18.83	12.97	597.97	-0.07	0.24	-0.97	0.02	0.23	-0.97	0	 -1	
9022557053	SMP	1	0.00	0.00	1443.54	678.74	0.00	0.00	0.00	20.26	20.26	3.58	0.00	0.00	0.00	0.00	1438.68	685.19	1448.19	685.22	0.00	0.00	838.86	536.44	0	0	1	1	-1	-1	0.00	0.00	0.00	-18.93	14.08	597.64	0.00	0.00	0.00	0.03	0.23	-0.97	0	 -1	
