## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\labelcats-pilot\Jacqueline-[bd5bf753-5f33-4872-acda-9735d918a55c]\Jacqueline-eye_data.idf
## Date:	19.10.2017 15:33:49
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	6548                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	Jacqueline                                                                                                                                                                                                                                                      
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(96;54)
## Calibration Point 1:	Position(1824;1026)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
18275793528	SMP	1	0.00	0.00	862.15	386.23	0.00	0.00	0.00	22.61	22.61	4.47	0.00	0.00	0.00	0.00	856.13	392.91	864.32	393.13	0.00	0.00	461.50	246.95	0	0	1	1	-1	-1	0.00	0.00	0.00	98.43	74.66	642.37	0.00	0.00	0.00	-0.22	0.17	-0.96	0	 -1	
18275826784	SMP	1	0.00	0.00	865.85	374.74	0.00	0.00	0.00	23.08	23.08	4.48	0.00	0.00	0.00	0.00	859.71	382.00	867.94	382.19	0.00	0.00	467.17	209.71	0	0	1	1	-1	-1	0.00	0.00	0.00	97.50	76.73	641.13	0.00	0.00	0.00	-0.22	0.19	-0.96	0	 -1	
18275860051	SMP	1	1174.12	366.48	870.01	366.27	20.81	20.81	4.25	23.54	23.54	4.50	1165.02	373.28	1172.59	373.86	864.11	373.81	872.24	373.93	0.00	0.00	495.74	206.56	0	1	1	2	-1	-1	37.42	82.68	675.52	96.60	78.39	641.01	-0.28	0.19	-0.94	-0.21	0.20	-0.96	0	 -1	
18275893390	SMP	1	1178.96	362.73	874.66	361.76	20.89	20.89	4.25	23.41	23.41	4.51	1169.98	370.05	1177.53	370.13	868.75	369.28	876.87	369.50	0.00	0.00	504.84	206.99	0	1	1	2	-1	-1	36.26	83.21	673.76	95.58	79.24	640.50	-0.27	0.20	-0.94	-0.21	0.20	-0.96	0	 -1	
18275926717	SMP	1	1183.03	362.16	878.67	359.80	20.95	20.95	4.25	23.38	23.38	4.52	1174.04	369.38	1181.54	369.75	872.62	367.55	880.74	367.71	0.00	0.00	501.05	201.24	0	1	1	2	-1	-1	35.36	83.23	673.03	94.74	79.55	640.09	-0.27	0.20	-0.94	-0.22	0.20	-0.95	0	 -1	
18275960044	SMP	1	1186.06	363.80	881.50	360.10	20.91	20.91	4.25	23.29	23.29	4.53	1176.92	370.75	1184.43	370.95	875.38	367.70	883.51	367.88	0.00	0.00	499.18	201.89	0	1	1	2	-1	-1	34.68	82.81	671.86	94.09	79.45	639.54	-0.28	0.19	-0.94	-0.22	0.20	-0.96	0	 -1	
18275993449	SMP	1	1187.49	369.45	882.60	364.25	20.66	20.66	4.24	23.19	23.19	4.53	1178.20	376.11	1185.77	376.37	876.41	371.54	884.72	371.86	0.00	0.00	502.80	211.44	0	1	1	2	-1	-1	34.31	81.43	669.99	93.60	78.43	637.74	-0.28	0.18	-0.94	-0.22	0.19	-0.96	0	 -1	
18276026715	SMP	1	1186.27	384.83	882.70	377.53	21.12	21.12	4.24	23.69	23.69	4.54	1176.88	388.98	1184.63	389.09	876.54	382.75	884.97	382.99	0.00	0.00	501.15	484.52	0	1	1	2	-1	-1	34.38	78.29	666.38	93.24	75.91	635.55	-0.28	0.07	-0.96	-0.22	0.10	-0.97	0	 -1	
18276060050	SMP	1	1185.39	403.11	880.88	393.01	19.13	19.13	4.17	23.30	23.30	4.53	1175.19	404.07	1183.10	404.12	875.04	395.65	883.48	395.84	0.00	0.00	506.18	805.99	0	1	1	2	-1	-1	34.49	74.61	661.94	93.33	73.15	634.08	-0.31	-0.06	-0.95	-0.21	0.00	-0.98	0	 -1	
18276093357	SMP	1	1183.18	414.74	879.23	403.01	20.23	20.23	4.14	23.20	23.20	4.52	1173.89	415.89	1181.81	415.95	873.54	405.38	882.05	405.52	0.00	0.00	511.12	829.18	0	1	1	2	-1	-1	34.64	71.86	659.47	93.29	70.94	631.85	-0.28	-0.05	-0.96	-0.20	-0.01	-0.98	0	 -1	
18276126751	SMP	1	1182.42	420.37	878.79	407.34	20.78	20.78	4.14	23.87	23.87	4.53	1173.19	421.79	1181.09	421.92	872.99	409.99	881.50	410.18	0.00	0.00	511.67	817.85	0	1	1	2	-1	-1	34.70	70.45	657.97	93.19	69.86	630.44	-0.27	-0.04	-0.96	-0.20	0.00	-0.98	0	 -1	
18276160045	SMP	1	1183.04	419.43	879.56	405.48	20.68	20.68	4.13	23.95	23.95	4.55	1173.59	420.77	1181.49	420.83	873.76	408.14	882.16	408.41	0.00	0.00	511.63	812.48	0	1	1	2	-1	-1	34.54	70.50	656.39	93.07	70.24	630.57	-0.28	-0.04	-0.96	-0.20	0.01	-0.98	0	 -1	
18276193374	SMP	1	1183.90	412.97	880.77	398.45	21.04	21.04	4.14	24.27	24.27	4.57	1174.78	414.42	1182.50	414.50	875.11	401.09	883.68	401.41	0.00	0.00	517.60	811.08	0	1	1	2	-1	-1	34.41	72.03	658.30	92.42	71.36	628.07	-0.27	-0.04	-0.96	-0.19	0.00	-0.98	0	 -1	
