"t","pupL","pupR","confPup","LeyeValid","ReyeValid","stimulus","x","y","pupDial","t.stim","subid"
0,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.0333333333333333,"Jacqueline-eye_data Samples.txt"
0.033,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.0666666666666667,"Jacqueline-eye_data Samples.txt"
0.066,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.1,"Jacqueline-eye_data Samples.txt"
0.1,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.133333333333333,"Jacqueline-eye_data Samples.txt"
0.133,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.166666666666667,"Jacqueline-eye_data Samples.txt"
0.166,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.2,"Jacqueline-eye_data Samples.txt"
0.2,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.233333333333333,"Jacqueline-eye_data Samples.txt"
0.233,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.266666666666667,"Jacqueline-eye_data Samples.txt"
0.267,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.3,"Jacqueline-eye_data Samples.txt"
0.3,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.333333333333333,"Jacqueline-eye_data Samples.txt"
0.333,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.366666666666667,"Jacqueline-eye_data Samples.txt"
0.366,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.4,"Jacqueline-eye_data Samples.txt"
0.4,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.433333333333333,"Jacqueline-eye_data Samples.txt"
0.433,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.466666666666667,"Jacqueline-eye_data Samples.txt"
0.466,NA,NA,1,1,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",435,806,NA,0.5,"Jacqueline-eye_data Samples.txt"
0.5,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.533333333333333,"Jacqueline-eye_data Samples.txt"
0.533,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.566666666666667,"Jacqueline-eye_data Samples.txt"
0.566,0,0,0,0,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",0,1050,0,0.6,"Jacqueline-eye_data Samples.txt"
0.6,NA,NA,1,1,0,"bada7b3a6cd1d461f885d055ad7d2fca.avi",481,766,NA,0.633333333333333,"Jacqueline-eye_data Samples.txt"
0.633,NA,NA,1,0,1,"bada7b3a6cd1d461f885d055ad7d2fca.avi",476,833,NA,0.666666666666667,"Jacqueline-eye_data Samples.txt"
