## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\labelcats-pilot\102017_pilot1-[3e9abbb2-80fd-4ad2-a047-58a29ea39a46]\102017_pilot1-eye_data.idf
## Date:	20.10.2017 10:49:44
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	6900                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	102017_pilot1                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
##
##
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2475294846	SMP	1	1716.11	640.56	1464.28	625.73	23.77	23.77	4.33	23.23	23.23	3.99	0.00	0.00	1715.54	647.25	0.00	0.00	1465.31	632.20	122.68	94.23	402.59	223.50	0	1	1	2	-1	-1	-70.67	21.60	606.85	-22.41	24.33	602.59	-0.10	0.23	-0.97	-0.10	0.21	-0.97	0	 -1	
2475328084	SMP	1	1729.49	627.31	1475.79	610.46	23.81	23.81	4.33	23.48	23.48	4.02	0.00	0.00	1729.81	634.07	0.00	0.00	1477.89	617.61	258.87	107.60	499.06	196.21	0	1	1	2	-1	-1	-71.88	23.64	594.36	-24.04	26.38	586.16	-0.06	0.22	-0.97	-0.07	0.23	-0.97	0	 -1	
2475361412	SMP	1	1742.15	613.96	1486.51	596.16	23.85	23.85	4.31	23.18	23.18	4.02	0.00	0.00	1742.41	620.87	0.00	0.00	1488.88	603.34	255.59	111.25	522.51	195.51	0	1	1	2	-1	-1	-73.25	25.78	586.47	-25.79	28.72	579.86	-0.06	0.22	-0.97	-0.06	0.22	-0.97	0	 -1	
2475394732	SMP	1	1753.08	599.89	1495.85	581.21	24.19	24.19	4.30	23.28	23.28	4.01	0.00	0.00	1753.39	606.86	0.00	0.00	1498.01	588.56	257.80	115.51	509.69	202.79	0	1	1	2	-1	-1	-74.76	28.19	582.40	-26.80	30.72	566.64	-0.06	0.21	-0.98	-0.07	0.22	-0.97	0	 -1	
2475428059	SMP	1	1761.88	585.59	1502.69	566.62	23.99	23.99	4.29	23.44	23.44	4.02	0.00	0.00	1762.18	592.82	0.00	0.00	1505.05	573.98	259.39	108.14	523.03	190.55	0	1	1	2	-1	-1	-76.26	30.73	581.44	-28.39	33.69	572.61	-0.05	0.22	-0.97	-0.06	0.21	-0.98	0	 -1	
2475461394	SMP	1	1767.91	573.89	1507.11	554.14	24.21	24.21	4.28	23.31	23.31	4.01	0.00	0.00	1768.18	581.11	0.00	0.00	1509.43	561.72	258.42	107.83	522.26	182.98	0	1	1	2	-1	-1	-76.99	32.74	578.73	-28.91	35.60	567.62	-0.05	0.21	-0.98	-0.06	0.22	-0.97	0	 -1	
2475494730	SMP	1	1771.09	565.68	1509.05	545.66	24.00	24.00	4.26	23.69	23.69	4.01	0.00	0.00	1771.59	573.02	0.00	0.00	1511.42	553.06	262.43	105.49	524.47	187.57	0	1	1	2	-1	-1	-77.10	34.01	575.03	-29.18	37.04	565.85	-0.05	0.21	-0.98	-0.06	0.21	-0.98	0	 -1	
2475528056	SMP	1	1771.18	560.36	1507.77	539.33	24.38	24.38	4.24	23.63	23.63	4.01	1760.89	567.56	1771.73	567.51	0.00	0.00	1510.21	546.89	265.55	128.63	523.19	188.77	0	1	1	2	-1	-1	-75.34	34.22	562.11	-28.56	37.69	558.94	-0.05	0.20	-0.98	-0.06	0.21	-0.98	0	 -1	
2475561387	SMP	1	1768.05	556.47	1503.46	534.84	24.51	24.51	4.23	23.81	23.81	4.00	1757.78	563.65	1768.53	563.69	0.00	0.00	1506.01	542.53	267.98	142.40	527.00	187.03	0	1	1	2	-1	-1	-74.59	34.82	560.69	-27.71	38.31	556.76	-0.05	0.20	-0.98	-0.06	0.21	-0.98	0	 -1	
2475594713	SMP	1	1762.78	553.86	1497.40	531.73	24.70	24.70	4.22	24.05	24.05	4.01	1752.36	561.08	1763.34	560.95	0.00	0.00	1499.93	539.37	271.98	169.32	529.04	189.48	0	1	1	2	-1	-1	-72.88	34.93	554.85	-26.62	38.83	556.21	-0.05	0.19	-0.98	-0.06	0.21	-0.98	0	 -1	
