## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\labelcats-pilot\10202017_pilot3-[3204a394-098f-4bc4-880f-f2fb6399d314]\10202017_pilot3-eye_data.idf
## Date:	20.10.2017 11:45:57
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	2369                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	10202017_pilot3                                                                                                                                                                                                                                                 
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(96;54)
## Calibration Point 1:	Position(1824;1026)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
5848051503	SMP	1	1511.53	332.60	1269.01	310.25	17.69	17.69	4.09	16.79	16.79	3.95	1509.28	335.99	1514.93	335.97	1269.40	314.69	1274.74	314.58	0.00	0.00	1541.74	229.56	0	1	1	2	-1	-1	-40.93	102.83	765.59	17.76	110.61	784.05	0.08	0.03	-1.00	0.13	0.08	-0.99	0		
5848084420	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
5848117568	SMP	1	0.00	0.00	1278.22	312.50	0.00	0.00	0.00	16.73	16.73	3.96	0.00	0.00	0.00	0.00	1278.46	315.76	1283.91	315.57	0.00	0.00	1535.11	364.49	0	0	1	1	-1	-1	0.00	0.00	0.00	15.48	110.25	783.27	0.00	0.00	0.00	0.13	0.02	-0.99	0	 -1	
5848150883	SMP	1	1526.98	334.45	1284.69	312.40	17.45	17.45	4.09	17.17	17.17	3.98	1524.30	338.29	1529.86	338.24	1284.71	316.13	1290.22	315.98	0.00	0.00	1516.89	306.41	0	1	1	2	-1	-1	-44.70	102.59	767.97	13.90	110.01	782.24	0.06	0.06	-1.00	0.12	0.05	-0.99	0	 -1	
5848184291	SMP	1	1534.60	334.01	1292.75	309.91	17.61	17.61	4.09	17.44	17.44	4.01	1532.05	338.13	1537.73	337.97	1292.80	314.08	1298.16	313.98	0.00	0.00	1502.69	256.28	0	1	1	2	-1	-1	-46.53	102.48	766.78	11.93	110.72	783.75	0.07	0.07	-0.99	0.12	0.07	-0.99	0	 -1	
5848217551	SMP	1	1546.85	335.94	1306.25	310.01	17.96	17.96	4.09	17.75	17.75	4.05	1542.68	338.91	1548.20	338.75	1304.14	313.18	1309.58	313.35	0.00	0.00	1036.29	357.30	0	1	1	2	-1	-1	-49.26	102.64	769.35	9.10	110.84	783.21	-0.01	0.01	-1.00	0.02	0.02	-1.00	0	 -1	
5848250890	SMP	1	1555.00	334.76	1313.26	308.27	17.53	17.53	4.15	17.59	17.59	4.07	1550.20	338.00	1555.65	338.19	1311.26	311.44	1316.82	311.39	0.00	0.00	1050.13	380.17	0	1	1	2	-1	-1	-51.24	103.11	771.58	7.30	111.09	781.77	-0.04	0.03	-1.00	0.03	0.02	-1.00	0	 -1	
5848284284	SMP	1	1560.93	333.25	1319.70	305.80	17.69	17.69	4.19	17.60	17.60	4.09	1556.47	336.03	1562.06	336.08	1317.49	308.91	1322.88	308.78	0.00	0.00	1028.84	396.75	0	1	1	2	-1	-1	-52.71	103.45	770.37	5.79	111.90	782.99	-0.02	0.01	-1.00	0.02	0.01	-1.00	0	 -1	
5848317542	SMP	1	1568.45	330.20	1326.41	302.61	16.95	16.95	4.18	17.34	17.34	4.09	1563.97	333.43	1569.48	333.38	1324.39	305.90	1329.97	305.76	0.00	0.00	1045.06	389.89	0	1	1	2	-1	-1	-54.63	104.30	771.86	4.04	112.35	780.91	-0.02	0.02	-1.00	0.03	0.02	-1.00	0	 -1	
5848350872	SMP	1	1577.33	327.68	1335.14	299.79	16.63	16.63	4.15	16.86	16.86	4.07	1572.94	330.95	1578.41	330.79	1332.88	302.71	1338.59	302.54	0.00	0.00	1035.95	425.22	0	1	1	2	-1	-1	-56.93	105.11	773.28	1.92	112.71	777.91	-0.01	0.02	-1.00	0.03	0.00	-1.00	0	 -1	
