## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\labelcats-pilot\102517_pilot1-[9826c8c9-ef66-4fc9-8f44-3ff54e34abe5]\102517_pilot1-eye_data.idf
## Date:	25.10.2017 11:08:30
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	7147                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	102517_pilot1                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
##
##
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
1280546523	SMP	1	1170.05	1021.00	895.32	1022.49	21.82	21.82	3.79	22.33	22.33	3.74	1163.04	1030.42	1173.06	1030.51	891.99	1032.12	902.52	1031.97	0.00	0.00	1199.59	-67.28	0	1	1	2	-1	-1	31.98	-49.41	574.99	78.72	-48.10	556.50	-0.12	0.43	-0.90	-0.05	0.42	-0.91	0	 -1	
1280579834	SMP	1	1164.98	1027.98	892.13	1029.82	22.17	22.17	3.80	21.75	21.75	3.73	1160.73	1034.25	1171.16	1034.15	892.16	1036.78	902.51	1036.49	1030.88	233.31	1565.14	250.70	0	1	1	2	-1	-1	32.25	-49.92	572.99	78.95	-49.06	558.21	-0.02	0.31	-0.95	0.06	0.33	-0.94	0	 -1	
1280613144	SMP	1	1165.14	1030.57	891.02	1035.05	22.45	22.45	3.81	22.46	22.46	3.75	1161.28	1036.29	1171.58	1036.10	891.46	1040.83	901.98	1040.54	1056.71	298.35	1602.84	395.01	0	1	1	2	-1	-1	32.17	-50.28	573.03	79.05	-49.77	558.11	0.00	0.29	-0.96	0.08	0.29	-0.95	0	 -1	
1280646411	SMP	1	1164.50	1033.71	889.50	1040.91	22.58	22.58	3.83	22.00	22.00	3.75	1160.48	1039.44	1170.93	1039.28	890.08	1046.90	900.48	1046.62	1057.10	304.25	1619.22	376.57	0	1	1	2	-1	-1	32.21	-50.72	571.52	79.46	-50.95	559.25	-0.01	0.29	-0.96	0.08	0.30	-0.95	0	 -1	
1280679802	SMP	1	1164.17	1035.97	888.56	1045.94	22.45	22.45	3.83	22.26	22.26	3.75	1160.28	1041.71	1170.61	1041.61	889.09	1051.71	899.59	1051.43	1062.25	302.93	1623.45	385.34	0	1	1	2	-1	-1	32.26	-51.15	571.59	79.65	-51.81	559.38	0.00	0.30	-0.96	0.08	0.29	-0.95	0	 -1	
1280713132	SMP	1	1162.34	1035.98	886.26	1047.06	22.87	22.87	3.85	22.69	22.69	3.77	1158.45	1041.78	1168.89	1041.66	886.53	1053.08	897.22	1052.66	1066.80	301.19	1617.67	379.25	0	1	1	2	-1	-1	32.51	-51.04	570.30	80.02	-52.00	558.90	0.00	0.30	-0.95	0.07	0.30	-0.95	0	 -1	
1280746465	SMP	1	1160.21	1034.90	883.09	1046.29	22.79	22.79	3.86	22.43	22.43	3.78	1156.13	1040.43	1166.61	1040.25	883.53	1052.37	894.10	1052.01	1062.97	316.00	1622.07	372.41	0	1	1	2	-1	-1	32.86	-50.69	569.15	80.62	-51.91	559.29	-0.01	0.29	-0.96	0.08	0.30	-0.95	0	 -1	
1280779797	SMP	1	1158.91	1032.50	881.31	1044.97	22.83	22.83	3.87	22.51	22.51	3.79	1154.81	1038.37	1165.42	1038.24	881.49	1050.87	892.17	1050.54	1063.56	305.42	1614.19	376.73	0	1	1	2	-1	-1	32.97	-50.15	567.21	80.92	-51.62	558.99	-0.01	0.30	-0.95	0.07	0.29	-0.95	0	 -1	
1280813122	SMP	1	1157.68	1029.82	879.20	1042.17	22.66	22.66	3.87	22.55	22.55	3.80	1153.76	1035.65	1164.37	1035.47	879.46	1048.18	890.27	1047.73	1068.63	308.26	1617.75	375.72	0	1	1	2	-1	-1	33.09	-49.55	565.99	81.18	-51.08	558.35	0.00	0.29	-0.96	0.07	0.30	-0.95	0	 -1	
1280846458	SMP	1	1160.01	1025.09	881.28	1037.79	22.50	22.50	3.86	22.72	22.72	3.80	1154.67	1031.77	1165.33	1031.62	880.08	1044.18	891.04	1043.96	914.58	233.56	1454.20	355.95	0	1	1	2	-1	-1	32.84	-48.73	564.51	80.83	-50.25	556.83	-0.05	0.32	-0.95	0.02	0.31	-0.95	0	 -1	
