## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\labelcats-pilot\102017_pilot11-[73cb5357-3419-4db1-9e8d-02e774849bef]\102017_pilot11-eye_data.idf
## Date:	20.10.2017 15:50:59
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	6949                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	102017_pilot11                                                                                                                                                                                                                                                  
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(96;54)
## Calibration Point 1:	Position(1824;1026)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
6627618043	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
6627651176	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
6627684571	SMP	1	1165.56	898.91	0.00	0.00	17.96	17.96	3.95	0.00	0.00	0.00	0.00	0.00	1182.30	900.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	33.33	-28.43	635.47	0.00	0.00	0.00	0.46	0.11	-0.88	0.00	0.00	0.00	0	 -1	
6627717880	SMP	1	1155.43	896.66	0.00	0.00	18.65	18.65	3.80	0.00	0.00	0.00	0.00	0.00	1172.73	898.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	31.64	-24.97	567.16	0.00	0.00	0.00	0.39	0.10	-0.91	0.00	0.00	0.00	0	 -1	
6627751175	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
6627784494	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
6627817832	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
6627851211	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
6627884487	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	-1	-1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	 -1	
6627917869	SMP	1	1096.68	889.67	0.00	0.00	17.95	17.95	3.65	0.00	0.00	0.00	1111.91	891.22	1119.05	892.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	39.98	-23.30	557.73	0.00	0.00	0.00	0.67	0.08	-0.73	0.00	0.00	0.00	0	 -1	
6627951290	SMP	1	1101.67	887.73	0.00	0.00	19.16	19.16	3.72	0.00	0.00	0.00	1109.54	889.63	1116.35	889.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	50.81	-28.71	695.06	0.00	0.00	0.00	0.44	0.13	-0.89	0.00	0.00	0.00	0	 -1	
6627984482	SMP	1	1111.27	886.60	0.00	0.00	18.66	18.66	3.76	0.00	0.00	0.00	1114.06	888.69	1120.63	888.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	1	-1	-1	50.35	-28.77	702.21	0.00	0.00	0.00	0.21	0.13	-0.97	0.00	0.00	0.00	0	 -1	
6628017874	SMP	1	1123.18	886.03	0.00	0.00	18.89	18.89	3.79	0.00	0.00	0.00	1122.03	887.81	1128.98	887.75	0.00	0.00	0.00	0.00	1701.32	595.07	0.00	0.00	0	1	0	1	-1	-1	47.72	-28.09	690.39	0.00	0.00	0.00	0.04	0.12	-0.99	0.00	0.00	0.00	0	 -1	
6628051148	SMP	1	1131.78	885.18	958.11	888.09	18.66	18.66	3.81	17.93	17.93	3.67	1130.47	887.05	1137.35	887.11	959.37	890.40	0.00	0.00	1685.33	578.02	1985.44	858.51	0	1	1	2	-1	-1	46.10	-28.07	693.74	68.30	-23.60	568.51	0.03	0.13	-0.99	0.12	0.13	-0.98	0	 -1	
6628084486	SMP	1	1141.74	884.19	0.00	0.00	18.90	18.90	3.84	0.00	0.00	0.00	1140.78	885.84	1147.63	885.85	0.00	0.00	0.00	0.00	1711.20	617.78	0.00	0.00	0	1	0	1	-1	-1	43.98	-27.89	696.01	0.00	0.00	0.00	0.05	0.11	-0.99	0.00	0.00	0.00	0	 -1	
6628117820	SMP	1	1151.43	883.07	0.00	0.00	18.56	18.56	3.84	0.00	0.00	0.00	1150.30	884.96	1157.29	885.00	0.00	0.00	0.00	0.00	1708.14	599.17	0.00	0.00	0	1	0	1	-1	-1	41.71	-27.59	693.43	0.00	0.00	0.00	0.05	0.12	-0.99	0.00	0.00	0.00	0	 -1	
6628151146	SMP	1	1159.25	882.76	0.00	0.00	18.27	18.27	3.84	0.00	0.00	0.00	1158.05	884.62	1164.98	884.65	0.00	0.00	0.00	0.00	1704.06	605.54	0.00	0.00	0	1	0	1	-1	-1	40.13	-27.60	695.42	0.00	0.00	0.00	0.05	0.12	-0.99	0.00	0.00	0.00	0	 -1	
6628184471	SMP	1	1164.88	882.77	0.00	0.00	18.19	18.19	3.83	0.00	0.00	0.00	1163.79	884.62	1170.69	884.60	0.00	0.00	0.00	0.00	1708.90	610.57	0.00	0.00	0	1	0	1	-1	-1	38.92	-27.63	696.34	0.00	0.00	0.00	0.05	0.12	-0.99	0.00	0.00	0.00	0	 -1	
6628217806	SMP	1	1168.22	882.58	0.00	0.00	17.96	17.96	3.82	0.00	0.00	0.00	1167.21	884.48	1174.22	884.55	0.00	0.00	0.00	0.00	1716.96	605.52	0.00	0.00	0	1	0	1	-1	-1	38.08	-27.56	695.10	0.00	0.00	0.00	0.06	0.13	-0.99	0.00	0.00	0.00	0	 -1	
6628251143	SMP	1	1169.96	882.63	0.00	0.00	17.56	17.56	3.79	0.00	0.00	0.00	1169.08	884.56	1176.07	884.63	0.00	0.00	0.00	0.00	1727.88	605.99	0.00	0.00	0	1	0	1	-1	-1	37.69	-27.59	695.43	0.00	0.00	0.00	0.07	0.13	-0.99	0.00	0.00	0.00	0	 -1	
6628284567	SMP	1	1171.22	882.84	0.00	0.00	17.39	17.39	3.76	0.00	0.00	0.00	1170.25	884.78	1177.24	884.86	0.00	0.00	0.00	0.00	1726.44	607.33	0.00	0.00	0	1	0	1	-1	-1	37.43	-27.64	695.43	0.00	0.00	0.00	0.06	0.13	-0.99	0.00	0.00	0.00	0	 -1	
6628317797	SMP	1	1172.11	882.94	0.00	0.00	17.19	17.19	3.73	0.00	0.00	0.00	1171.09	884.82	1178.06	884.84	0.00	0.00	0.00	0.00	1725.25	611.65	0.00	0.00	0	1	0	1	-1	-1	37.25	-27.65	695.56	0.00	0.00	0.00	0.06	0.12	-0.99	0.00	0.00	0.00	0	 -1	
6628351112	SMP	1	1173.03	882.58	0.00	0.00	16.98	16.98	3.70	0.00	0.00	0.00	1172.20	884.43	1179.22	884.49	0.00	0.00	0.00	0.00	1735.64	612.25	0.00	0.00	0	1	0	1	-1	-1	36.96	-27.53	694.64	0.00	0.00	0.00	0.07	0.12	-0.99	0.00	0.00	0.00	0	 -1	
6628384441	SMP	1	1175.13	881.83	0.00	0.00	16.93	16.93	3.67	0.00	0.00	0.00	1174.26	883.57	1181.37	883.59	0.00	0.00	0.00	0.00	1740.41	613.93	0.00	0.00	0	1	0	1	-1	-1	36.43	-27.29	693.50	0.00	0.00	0.00	0.07	0.12	-0.99	0.00	0.00	0.00	0	 -1	
6628417789	SMP	1	1178.19	879.99	0.00	0.00	16.85	16.85	3.64	0.00	0.00	0.00	1177.30	881.79	1184.39	881.83	0.00	0.00	0.00	0.00	1741.58	615.11	0.00	0.00	0	1	0	1	-1	-1	35.73	-26.88	692.88	0.00	0.00	0.00	0.07	0.12	-0.99	0.00	0.00	0.00	0	 -1	
6628451166	SMP	1	1181.14	876.43	984.16	874.21	16.80	16.80	3.61	16.41	16.41	3.64	1180.25	878.08	1187.30	878.11	985.39	876.61	992.05	876.69	1742.29	619.09	2047.14	684.35	0	1	1	2	-1	-1	35.07	-26.05	692.54	78.61	-25.96	698.81	0.07	0.11	-0.99	0.10	0.15	-0.98	0	 -1	
6628484451	SMP	1	1182.44	869.90	984.85	868.27	16.57	16.57	3.58	15.98	15.98	3.58	1181.73	871.67	1188.61	871.69	0.00	0.00	992.97	870.89	1747.97	620.16	2039.08	676.44	0	1	1	2	-1	-1	34.80	-24.66	693.29	77.51	-24.39	690.42	0.07	0.11	-0.99	0.10	0.15	-0.98	0	 -1	
6628517804	SMP	1	1182.95	859.60	0.00	0.00	16.71	16.71	3.56	0.00	0.00	0.00	1182.06	861.25	1189.04	861.31	0.00	0.00	0.00	0.00	1746.69	626.66	0.00	0.00	0	1	0	1	-1	-1	34.68	-22.36	692.58	0.00	0.00	0.00	0.07	0.11	-0.99	0.00	0.00	0.00	0	 -1	
6628551106	SMP	1	1184.13	847.32	0.00	0.00	16.67	16.67	3.55	0.00	0.00	0.00	1183.19	849.00	1190.33	848.95	0.00	0.00	0.00	0.00	1748.17	632.25	0.00	0.00	0	1	0	1	-1	-1	34.36	-19.62	691.45	0.00	0.00	0.00	0.07	0.10	-0.99	0.00	0.00	0.00	0	 -1	
6628584541	SMP	1	1186.40	836.38	0.00	0.00	16.56	16.56	3.53	0.00	0.00	0.00	1185.52	838.14	1192.54	838.30	0.00	0.00	0.00	0.00	1747.19	630.14	0.00	0.00	0	1	0	1	-1	-1	33.87	-17.26	691.53	0.00	0.00	0.00	0.07	0.11	-0.99	0.00	0.00	0.00	0	 -1	
6628617846	SMP	1	1188.69	829.77	0.00	0.00	16.45	16.45	3.51	0.00	0.00	0.00	1187.97	831.66	1195.11	831.63	0.00	0.00	0.00	0.00	1750.49	631.43	0.00	0.00	0	1	0	1	-1	-1	33.27	-15.80	690.47	0.00	0.00	0.00	0.08	0.11	-0.99	0.00	0.00	0.00	0	 -1	
6628651117	SMP	1	1191.57	827.15	0.00	0.00	16.58	16.58	3.49	0.00	0.00	0.00	1190.81	829.07	1197.87	829.19	0.00	0.00	0.00	0.00	1750.59	630.76	0.00	0.00	0	1	0	1	-1	-1	32.65	-15.25	690.43	0.00	0.00	0.00	0.08	0.11	-0.99	0.00	0.00	0.00	0	 -1	
6628684463	SMP	1	1199.03	827.12	0.00	0.00	16.64	16.64	3.48	0.00	0.00	0.00	1195.96	828.93	1203.11	828.94	0.00	0.00	0.00	0.00	1365.01	636.11	0.00	0.00	0	1	0	1	-1	-1	31.47	-15.18	689.54	0.00	0.00	0.00	-0.02	0.10	-0.99	0.00	0.00	0.00	0	 -1	
6628717773	SMP	1	1211.42	829.48	0.00	0.00	16.63	16.63	3.48	0.00	0.00	0.00	1204.45	831.08	1211.66	831.08	0.00	0.00	0.00	0.00	712.05	644.25	0.00	0.00	0	1	0	1	-1	-1	29.56	-15.63	688.45	0.00	0.00	0.00	-0.19	0.09	-0.98	0.00	0.00	0.00	0	 -1	
6628751082	SMP	1	1219.92	834.66	0.00	0.00	16.38	16.38	3.46	0.00	0.00	0.00	1212.73	836.18	1219.91	836.17	0.00	0.00	0.00	0.00	687.64	652.33	0.00	0.00	0	1	0	1	-1	-1	27.74	-16.73	687.97	0.00	0.00	0.00	-0.20	0.09	-0.98	0.00	0.00	0.00	0	 -1	
6628784426	SMP	1	1230.63	841.22	0.00	0.00	16.55	16.55	3.45	0.00	0.00	0.00	1223.54	842.80	1230.79	842.79	0.00	0.00	0.00	0.00	693.11	655.81	0.00	0.00	0	1	0	1	-1	-1	25.33	-18.14	686.73	0.00	0.00	0.00	-0.19	0.10	-0.98	0.00	0.00	0.00	0	 -1	
6628817752	SMP	1	1243.19	846.81	1040.79	848.70	16.51	16.51	3.44	16.92	16.92	3.74	1236.18	848.54	1243.35	848.40	0.00	0.00	1042.98	850.97	695.61	655.79	1142.54	568.48	0	1	1	2	-1	-1	22.58	-19.37	686.54	82.85	-25.03	862.99	-0.18	0.10	-0.98	-0.10	0.16	-0.98	0	 -1	
6628851087	SMP	1	1256.06	850.25	1053.16	850.78	16.35	16.35	3.43	16.43	16.43	3.81	1248.76	851.87	1255.96	851.81	0.00	0.00	1055.45	853.24	681.26	661.87	1115.87	561.69	0	1	1	2	-1	-1	19.82	-20.08	685.80	76.57	-24.71	831.13	-0.19	0.10	-0.98	-0.10	0.16	-0.98	0	 -1	
6628884418	SMP	1	1266.69	850.63	1064.06	851.15	16.23	16.23	3.41	16.73	16.73	3.86	1259.48	852.40	1266.51	852.18	0.00	0.00	1066.18	853.53	675.44	661.93	1043.17	570.51	0	1	1	2	-1	-1	17.52	-20.20	686.56	72.23	-24.27	813.83	-0.19	0.10	-0.98	-0.11	0.15	-0.98	0	 -1	
6628917748	SMP	1	1275.03	848.99	1072.75	850.59	16.50	16.50	3.41	17.05	17.05	3.90	1267.86	850.63	1275.01	850.47	0.00	0.00	1074.85	852.81	677.39	667.35	985.71	616.43	0	1	1	2	-1	-1	15.67	-19.81	685.98	67.77	-23.30	787.37	-0.18	0.10	-0.98	-0.12	0.14	-0.98	0	 -1	
6628951088	SMP	1	1282.09	846.83	1079.88	850.48	16.63	16.63	3.41	17.11	17.11	3.91	1274.98	848.56	1282.05	848.47	0.00	0.00	1082.11	852.77	677.15	666.49	981.90	632.07	0	1	1	2	-1	-1	14.14	-19.38	686.40	64.43	-22.74	768.90	-0.18	0.10	-0.98	-0.11	0.14	-0.98	0	 -1	
