## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\labelcats-pilot\102517_pilot2-[edd548c2-d24c-4309-bcb0-53b26fc1c5ed]\102517_pilot2-eye_data.idf
## Date:	25.10.2017 11:49:19
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	6894                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	102517_pilot2                                                                                                                                                                                                                                                   
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(96;54)
## Calibration Point 1:	Position(1824;1026)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
3730162953	SMP	1	1279.51	907.88	1084.70	898.69	18.14	18.14	4.33	17.81	17.81	4.23	1273.76	912.34	1278.95	912.54	1081.87	903.13	1087.30	903.05	615.46	320.17	715.70	419.69	0	1	1	2	-1	-1	16.95	-38.62	796.28	64.85	-35.97	789.94	-0.18	0.28	-0.94	-0.08	0.27	-0.96	0	 -1	
3730196281	SMP	1	1279.46	907.98	1084.71	898.72	18.25	18.25	4.33	17.99	17.99	4.25	1273.85	912.49	1279.24	912.67	1082.26	903.23	1087.45	903.29	623.39	320.92	731.55	409.39	0	1	1	2	-1	-1	16.81	-38.44	791.85	65.41	-36.36	797.52	-0.17	0.28	-0.94	-0.07	0.28	-0.96	0	 -1	
3730229606	SMP	1	1279.79	908.49	1084.94	899.04	18.10	18.10	4.33	17.74	17.74	4.25	1273.82	913.23	1279.27	913.31	1082.17	903.54	1087.41	903.43	612.12	311.31	719.07	411.47	0	1	1	2	-1	-1	16.77	-38.51	789.74	65.31	-36.35	796.16	-0.18	0.29	-0.94	-0.08	0.27	-0.96	0	 -1	
3730262885	SMP	1	1279.44	908.93	1084.61	899.46	18.12	18.12	4.32	17.63	17.63	4.24	1273.71	913.41	1278.97	913.69	1081.80	904.15	1087.28	904.01	612.66	315.98	723.25	406.67	0	1	1	2	-1	-1	16.91	-38.79	794.09	64.81	-36.19	789.23	-0.18	0.28	-0.94	-0.08	0.28	-0.96	0	 -1	
3730296232	SMP	1	1279.49	909.25	1084.87	899.86	18.18	18.18	4.33	17.67	17.67	4.23	1273.77	914.15	1279.05	914.12	1081.73	904.36	1087.37	904.38	612.31	300.66	713.87	412.60	0	1	1	2	-1	-1	16.90	-38.95	794.33	64.25	-35.95	782.45	-0.18	0.30	-0.94	-0.09	0.27	-0.96	0	 -1	
3730329558	SMP	1	1279.41	909.61	1084.92	900.22	17.84	17.84	4.31	17.43	17.43	4.20	1273.77	914.27	1279.13	914.33	1081.73	904.53	1087.41	904.44	615.39	306.76	708.74	425.29	0	1	1	2	-1	-1	16.85	-38.91	792.60	64.00	-35.84	779.48	-0.17	0.29	-0.94	-0.09	0.26	-0.96	0	 -1	
3730362896	SMP	1	1279.37	909.92	1084.36	900.27	18.11	18.11	4.32	17.94	17.94	4.20	1273.73	914.39	1278.87	914.60	1081.65	904.60	1087.30	904.53	610.42	310.80	727.87	432.73	0	1	1	2	-1	-1	16.98	-39.18	797.00	63.95	-35.82	778.58	-0.18	0.28	-0.94	-0.07	0.26	-0.96	0	 -1	
3730396208	SMP	1	1279.83	910.20	1084.76	900.28	17.87	17.87	4.31	17.23	17.23	4.18	1273.75	914.70	1279.00	914.83	1081.78	904.65	1087.31	904.55	593.04	311.03	714.77	431.23	0	1	1	2	-1	-1	16.93	-39.17	795.43	64.22	-35.99	782.15	-0.20	0.28	-0.94	-0.09	0.26	-0.96	0	 -1	
3730429558	SMP	1	1279.63	910.32	1085.15	900.35	17.58	17.58	4.28	17.36	17.36	4.17	1273.90	914.98	1279.31	915.10	1082.21	904.72	1087.46	904.52	607.73	309.04	710.27	428.99	0	1	1	2	-1	-1	16.81	-39.10	792.63	64.98	-36.46	792.27	-0.17	0.29	-0.94	-0.09	0.26	-0.96	0	 -1	
3730462876	SMP	1	1280.05	910.33	1085.45	900.39	17.50	17.50	4.26	17.32	17.32	4.16	1274.24	914.97	1279.57	915.16	1082.52	904.50	1087.78	904.55	602.03	305.40	709.84	440.28	0	1	1	2	-1	-1	16.76	-39.16	793.67	64.92	-36.45	792.48	-0.18	0.29	-0.94	-0.09	0.26	-0.96	0	 -1	
3730496307	SMP	1	1279.91	910.55	1085.55	900.53	17.23	17.23	4.24	17.20	17.20	4.14	1274.49	915.18	1279.62	915.31	1082.60	904.61	1088.21	904.61	610.45	305.36	716.32	456.21	0	1	1	2	-1	-1	16.81	-39.40	797.67	63.92	-35.94	781.03	-0.17	0.29	-0.94	-0.08	0.25	-0.96	0	 -1	
