## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\labelcats-pilot\110117_3-[f27968bf-7960-424f-ac80-14f492b4e565]\110117_3-eye_data.idf
## Date:	01.11.2017 11:59:49
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9045                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	110117_3                                                                                                                                                                                                                                                        
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(96;54)
## Calibration Point 1:	Position(1824;1026)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044602-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
3864034752	SMP	1	0.00	0.00	1411.49	731.78	0.00	0.00	0.00	21.23	21.23	4.33	0.00	0.00	0.00	0.00	1406.75	735.35	1414.63	735.39	0.00	0.00	615.46	641.52	0	0	1	1	-1	-1	0.00	0.00	0.00	-14.05	5.05	659.71	0.00	0.00	0.00	-0.01	0.15	-0.99	0	 -1	
3864068009	SMP	1	1621.42	769.54	0.00	0.00	20.81	20.81	4.43	0.00	0.00	0.00	1615.67	772.60	1623.32	772.58	0.00	0.00	0.00	0.00	713.83	669.75	0.00	0.00	0	1	0	1	-1	-1	-58.64	-2.78	670.09	0.00	0.00	0.00	0.00	0.14	-0.99	0.00	0.00	0.00	0	 -1	
3864101309	SMP	1	1619.59	765.97	0.00	0.00	20.76	20.76	4.38	0.00	0.00	0.00	1613.86	769.00	1621.53	769.03	0.00	0.00	0.00	0.00	716.25	667.77	0.00	0.00	0	1	0	1	-1	-1	-58.08	-2.02	668.15	0.00	0.00	0.00	0.00	0.13	-0.99	0.00	0.00	0.00	0	 -1	
3864134620	SMP	1	1617.97	762.45	1406.83	721.35	20.29	20.29	4.33	20.54	20.54	4.28	1612.09	765.56	1619.70	765.59	1402.21	724.85	1410.01	724.92	714.00	664.41	619.55	642.99	0	1	1	2	-1	-1	-57.69	-1.29	667.94	-13.09	7.24	659.32	-0.01	0.14	-0.99	-0.01	0.14	-0.99	0	 -1	
3864168020	SMP	1	0.00	0.00	1405.21	719.42	0.00	0.00	0.00	20.44	20.44	4.24	0.00	0.00	0.00	0.00	1400.47	723.01	1408.26	723.03	0.00	0.00	619.99	642.32	0	0	1	1	-1	-1	0.00	0.00	0.00	-12.71	7.62	658.73	0.00	0.00	0.00	-0.02	0.14	-0.99	0	 -1	
3864201312	SMP	1	0.00	0.00	1403.14	720.00	0.00	0.00	0.00	20.48	20.48	4.20	0.00	0.00	0.00	0.00	1398.42	723.49	1406.27	723.54	0.00	0.00	623.55	644.12	0	0	1	1	-1	-1	0.00	0.00	0.00	-12.27	7.51	657.80	0.00	0.00	0.00	-0.02	0.14	-0.99	0	 -1	
3864234653	SMP	1	1612.05	764.24	1401.11	721.21	19.98	19.98	4.27	20.27	20.27	4.16	1606.33	767.21	1613.97	767.27	1396.41	724.61	1404.21	724.73	717.73	664.42	625.99	646.69	0	1	1	2	-1	-1	-56.36	-1.64	666.65	-11.84	7.26	657.41	0.00	0.13	-0.99	-0.02	0.14	-0.99	0	 -1	
3864267958	SMP	1	0.00	0.00	1398.73	720.65	0.00	0.00	0.00	19.77	19.77	4.11	0.00	0.00	0.00	0.00	1393.93	724.28	1401.86	724.23	0.00	0.00	626.42	646.43	0	0	1	1	-1	-1	0.00	0.00	0.00	-11.32	7.33	656.21	0.00	0.00	0.00	-0.02	0.14	-0.99	0	 -1	
3864301306	SMP	1	1608.42	760.38	1396.34	717.98	19.66	19.66	4.21	19.49	19.49	4.06	1602.56	763.27	1610.24	763.38	1391.47	721.49	1399.30	721.54	717.35	665.46	626.27	649.23	0	1	1	2	-1	-1	-55.46	-0.81	665.37	-10.79	7.90	656.08	-0.01	0.13	-0.99	-0.02	0.14	-0.99	0	 -1	
3864334638	SMP	1	0.00	0.00	1396.98	712.48	0.00	0.00	0.00	18.94	18.94	4.00	0.00	0.00	0.00	0.00	1390.91	717.39	1398.80	717.48	0.00	0.00	488.01	490.46	0	0	1	1	-1	-1	0.00	0.00	0.00	-10.67	8.74	655.30	0.00	0.00	0.00	-0.07	0.20	-0.98	0	 -1	
